LUse2,LUse_Type
100,residential_nec
102,townhouse_rowhouse
103,apartment_hotel
106,apartment
109,cabin
111,cooperative
112,condominium
113,condominiumproject
114,commonarea
115,duplex
116,midrisecondo
117,highrisecondo
118,frat_sororityhouse
119,residencehall_dormitories
127,hotel
130,resorthotel
131,multifamily10unitsplus
132,multifamily10unitsless
133,multifamilydwelling
134,mixedcomplex
135,mobilehomelot
136,mobilehomepark
137,mobilehome
138,manufacturedhome
142,motel
148,pud
151,quadruplex
155,groupquarters
156,orphanage
157,nursinghome
160,ruralhomesite
163,single_family_residence
164,transientlodging
165,triplex
167,timeshare
199,timesharecondo
200,commercial_nec
201,airrights
202,multipleuses
203,autoequipment
204,autorepair
205,autosales
206,condotel
207,salvageimprv
208,autowrecking
209,businesspark
210,carwash
211,commercialbuilding
212,cemetery
213,commercialcondominium
214,convalescenthospital
215,conventioncenter
217,departmentstore
218,facilities
220,storefranchise
221,fastfoodfranchise
222,fin_insurance_realestate
223,financialbuilding
225,funeralhome
226,garage
229,greenhouse
230,hospital
234,kennel
235,animalhospital_vet
236,loftbuilding
237,medicalbuilding
238,medicalcondo
239,laboratory
240,laundromat
242,nightclub
243,bar
244,officebuilding
245,office_residential
246,office_showroom
247,officecondo
248,convertedresidence
249,miscimprovements
250,prefabricatedbldg
251,miscbuilding
252,parkinglot
255,parkingstructure
257,producemarket
258,publicstorage
261,restaurantbuilding
262,restaurantdrivein
266,servicestation
268,servicestation_market
269,misccommercialservices
270,shoppingcenter
273,stripcommercialcenter
276,apparel
278,storebuilding
279,stores_offices
281,stores_residential
282,retailtrade
283,supermarket
284,foodstores
285,tavern
286,wholesale
290,leasedland_bldg
300,industrial_nec
301,commercial_industrial
302,brewery
303,bulkplant
304,cannery
308,chemical
309,textile_clothes_carpetindust
310,paper_alliedindustry
311,dumpsite
312,durablegoods
313,nondurablegoods
316,foodprocessing
318,grainelevator
320,heavyindustrial
321,industrialcondominium
322,industrialpark
323,industrialplant
324,lightindustrial
326,lumberyard
328,lumbermill
331,metalproduct
333,mineralrights
334,mineralprocessing
336,miniwarehouse
338,multitenantindustrial
342,packing
344,petroleum
349,mine_quarry
352,r_dfacility
353,technologicalindustry
354,shipyard
356,stockyard
358,storage
361,storagetanks
364,warehouse
366,winery
400,vacantland_nec
401,marshland
410,barrenland
415,commercialacreage
420,commerciallot
421,commonland
425,desert
430,agriculturalland
435,industrialacreage
440,industriallot
445,mountainousland
446,naturalresources
450,multifamilyacreage
452,multifamilylot
453,openspace
454,vacantmobilehome
455,recreationalacreage
460,residentialacreage
465,residentiallot
480,wasteland
481,vacantlmtd_nodevpotential
490,wildliferefuge
500,agricultural_nec
501,livestock
502,nursery_horticulture
505,agriculturalplant
509,ranch
510,animalfarm
511,farms
512,avocadogrove
514,citrusgrove
515,dairyfarm
520,fallowland
530,field_seed
533,fisheries
540,forest
542,greenbelt
550,orchard
560,pasture
562,poultryranch
570,truckcrops
575,vineyard
600,public_nec
601,taxexempt
602,stateproperty
603,countyproperty
604,municipalproperty
605,police_fire_civildefense
606,uspostalservice
607,embassies_chanceries
609,correctionalfacility
610,communitycenter
611,historicaldistrict
614,federalproperty
615,federalbuilding
618,nativeamericanproperty
620,art
630,militarybuilding
640,possessoryinterest
641,taxabatement
642,enterprisezone
650,school
652,nurseryschool
654,highschool
655,privateschool
656,vocational_tradeschool
660,educationalservice
664,seceducationalschool
665,publicschool
670,publicservice
671,charitableorganization
675,religious
680,university
690,naturefacility
699,zoo
700,recreational_nec
701,casino
703,amphitheatre
706,amusementarcade
709,amusementpark
712,auditorium
721,bowlingalley
724,billiardhall
725,club
727,countryclub
728,healthclub
733,dancehall
742,golfcourse
745,golfrange
750,gymnasium
754,lake_river_beach
755,marinafacility
757,park
766,racetrack
769,racquetcourt
770,tennisclub
775,rvpark
780,skatingrink
784,stadium
787,stable
790,swimmingpool
795,driveintheater
796,theater
797,touristattraction_exhibits
798,library_museum
800,transport_nec
801,communicationfacility
806,aircraftfacility
808,airport
818,electricalfacility
830,gasproduction
839,marinefacility
850,port_harbor
860,railroadfacility
863,recordingstudio
864,radiofacility
867,easement
872,telephonefacility
875,tvfacility
877,transportfacility
879,truckterminal
880,utilities
883,wastedisposal
885,well_water
886,well_gas_oil
998,realproperty_nec
999,miscellaneous
