htc2,heating_type
000,none
001,type_unknown
00A,electric_solar
00C,coal
00D,gas_wood
00E,electric
00G,gas
00I,electric_oil
00M,gas_steam
00N,solar_coal_wood
00O,oil
00P,coal_wood
00Q,solar_oil
00R,electric_radiant
00S,solar
00T,electric_hot_water
00W,wood
00Y,oil_wood
00Z,gas_solar
999,bypass
ACE,central
BB0,baseboard
BBE,baseboard_electric
BBG,baseboard_gas
BBO,baseboard_oil
BBP,baseboard_coal_wood
BH0,baseboard_hot_water
BRE,baseboard_electric_radiant
BS0,baseboard_hot_water_steam
BTE,baseboard_electric_hot_water
CF0,central_forced_air
CFO,central_forced_air_oil
CL0,central
CLE,central_electric
CLG,central_gas
CP0,central_partial
CV0,convection
CVE,convection_electric
CVG,convection_gas
CVO,convection_oil
FA0,forced_air
FAC,forced_air_coal
FAE,forced_air_electric
FAG,forced_air_gas
FAH,forced_hot_water
FAO,forced_air_oil
FAW,forced_air_wood
FC0,ceiling_furnace
FCW,forced_air_coal_wood
FF0,floor_furnace
FFE,floor_furnace_electric
FFG,floor_furnace_gas
FFL,floor_furnace_coal_wood
FFO,floor_furnace_oil
FL0,floor_wall_furnace
FN0,forced_air_not_ducted
FP0,fireplace
FR0,furnace
FRC,furnace_coal
FRE,furnace_electric
FRG,furnace_gas
FRW,wood_furnace
FS0,furnace_stove
GF0,gravity_furnace
GFG,gravity_furnace_gas
GN0,gravity_not_ducted
GR0,gravity
GRC,gravity_coal
GRE,gravity_electric
GRG,gravity_gas
GRO,gravity_oil
GRS,gravity_solar
HA0,hot_air
HAE,hot_air_electric
HAO,hot_air_oil
HAS,hot_air_solar
HN0,hot_air_notducted
HP0,heat_pump
HPE,heat_pump_electric
HPG,heat_pump_gas
HPH,heat_pump_hotwater
HPL,heat_pump_coal_wood
HPO,heat_pump_oil
HPS,heatpump_solar
HS0,hot_water_steam
HW0,hot_water_
HWE,hot_water_electric
HWG,hot_water_gas
HWL,hot_water_coal_wood
HWO,hot_water_oil
HWS,hot_water_solar
HWW,hot_water_wood
IN0,industrial
JT0,jets
ND0,not_ducted
PK0,package
PKE,package_electric
PT0,partial
RC0,radiant_ceiling
RD0,radiant
RDE,radiant_electric
RDG,radiant_gas
RDH,radiant_hot_water
RDI,radiant_electric_oil
RDW,radiant_wood
RGO,radiant_hot_water_oil
RR0,radiator
RS0,radiant_steam
SP0,space
SPG,space_gas
SPL,space_coal_wood
SPO,space_oil
SS0,stove_space
ST0,steam
STE,steam_electric
STG,steam_gas
STH,steam_hot_water
STO,steam_oil
STW,steam_wood
SV0,stove
SVG,stovegas
UN0,unit
UNE,unit_electric
UNG,unit_gas
WA0,warm_air
WF0,wall_furnace
WFL,wall_furnace_coal_wood
WFO,wall_furnace_oil
WH0,wall_heat_pump
WL0,wall
WLE,wall_electric
WLG,wall_gas
WS0,wood_stove
WU0,wall_unit
