"Area","Company","Item","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
" U.S. Total"," Total of All Companies","Residential Sales Revenue","42481760449","34991423253","44216423289","47291431008","55299258887","53960017503","55083666938","60203010470","50503453979","47188290913","45049435117","37703359463","42902034752","47203489069","40458598266","37145182006","41057908403","44943926605","45257289441","43241393590","49760734233"
" U.S. Total"," Total of All Companies","Residential Sales Volume","4409436818","4465062033","4607036758","4433261719","4405651302","3989492543","4278347295","4400336904","4259440612","4230295379","4163333399","3615220403","4220714754","4353529549","3951303721","3742315986","3808218136","4305745702","4361773983","4066645115","4118523734"
"Alabama"," Total of All Companies","Residential Sales Revenue","594046655","489535433","550442427","585134802","665377789","716715752","643454591","691442601","653317843","666591345","551746870","446838816","542387751","570296123","462696463","399517260","424610265","528507838","478588513","451011674","506093664"
"Alabama"," Total of All Companies","Residential Sales Volume","49241661","46476384","46565049","43859440","42056628","38131829","35480842","37793335","36060864","42215276","36581897","27579580","35058824","39006010","32750267","28406890","26337821","34725671","30615524","28178482","32188153"
"Alaska"," Total of All Companies","Residential Sales Volume","16817781","16190566","16852831","18200255","18028952","20615944","19843252","21439478","19978494","18714022","20261768","21379620","19214941","17733601","18574235","17787189","20247149","18606913","17951286","21049369","21537558"
"Alaska"," Total of All Companies","Residential Sales Revenue","71222879","71467832","73951611","88795345","103291255","141001292","172199645","186909649","204472931","166403201","177794435","181118529","170006388","161599043","179000737","174447573","212973665","204568428","199453605","234487035","235606616"
"Arizona"," Total of All Companies","Residential Sales Volume","36248739","35305394","35413076","38205746","35767050","36055328","38321095","38453331","34732287","37812271","38589202","34971652","39689243","32395062","34513640","35117947","32819370","35122620","42082420","41512308","39826050"
"Arizona"," Total of All Companies","Residential Sales Revenue","381122676","426907723","400346355","464497907","484284325","588555336","659358792","676936974","612904996","600194396","580318893","550788383","552346541","557101861","588073013","536609603","517815186","539040298","566576826","543630311","618054374"
"Arkansas"," Total of All Companies","Residential Sales Volume","37202479","39129652","37994338","34760330","33605318","31494630","32730670","35718378","33252055","36239692","33736721","26191050","34988693","38126643","33048937","27129530","25703534","34978731","33718397","30302018","33793465"
"Arkansas"," Total of All Companies","Residential Sales Revenue","373190028","350070696","392531661","407872637","458814707","445533938","428190956","503229929","445136433","417776295","386632744","309468631","366148854","395995199","382628603","302917923","333278371","411795130","372698114","372226183","424293614"
